12-01 00:15:11 269[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:15:19 319[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:15:19 320[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:15:27 359[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:15:27 359[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:15:35 411[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:15:35 411[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:15:43 127[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10189
12-01 00:15:43 448[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:15:43 449[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:15:51 487[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
12-01 00:15:51 487[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10191
12-01 00:15:59 527[W(0)][mmi_mw_ctrl.c-107]MainWnd no InitOver£¬filter msg cmd:10002
